results_address,competitor_address
"971 Cassat Avenue, Jacksonville, FL 32205","6361 103rd Street, Jacksonville, FL 32210"
"971 Cassat Avenue, Jacksonville, FL 32205","6352 103rd Street, Jacksonville, FL 32210"
"971 Cassat Avenue, Jacksonville, FL 32205","1550 Hendricks Avenue, Jacksonville, FL 32207"
"971 Cassat Avenue, Jacksonville, FL 32205","1070 Edgewood Avenue S, Jacksonville, FL 32205"
"971 Cassat Avenue, Jacksonville, FL 32205","1059 Park Street, Jacksonville, FL 32204"
"971 Cassat Avenue, Jacksonville, FL 32205","2725 College Street, Jacksonville, FL 32205"
"971 Cassat Avenue, Jacksonville, FL 32205","537 Park Street, Jacksonville, FL 32204"
"971 Cassat Avenue, Jacksonville, FL 32205","4339 Roosevelt Boulevard, Jacksonville, FL 32210"
"2385 S Ferdon Boulevard, Crestview, FL 32536","2573 S Ferdon Boulevard, Crestview, FL 32539"
"500 E Chase Street, Pensacola, FL 32502","5090 N 9th Avenue, Pensacola, FL 32504"
"500 E Chase Street, Pensacola, FL 32502","920 N Navy Boulevard, Pensacola, FL 32507"
"500 E Chase Street, Pensacola, FL 32502","4785 N 9th Avenue, Pensacola, FL 32503"
"500 E Chase Street, Pensacola, FL 32502","5048 Bayou Boulevard, Pensacola, FL 32504"
"500 E Chase Street, Pensacola, FL 32502","3900 N 9th Avenue, Pensacola, FL 32503"
"500 E Chase Street, Pensacola, FL 32502","5046 Bayou Boulevard, Pensacola, FL 32503"
"500 E Chase Street, Pensacola, FL 32502","3119 N Davis Highway, Pensacola, FL 32503"
"500 E Chase Street, Pensacola, FL 32502","2401 Langley Avenue, Pensacola, FL 32504"
"763 Atlantic Boulevard, Atlantic Beach, FL 32233","1222 S 3rd Street, Jacksonville Beach, FL 32250"
"763 Atlantic Boulevard, Atlantic Beach, FL 32233","1198 Beach Boulevard, Jacksonville, FL 32250"
"763 Atlantic Boulevard, Atlantic Beach, FL 32233","308 3rd Street S, Jacksonville, FL 32250"
"763 Atlantic Boulevard, Atlantic Beach, FL 32233","1161 Beach Boulevard, Jacksonville Beach, FL 32250"
"763 Atlantic Boulevard, Atlantic Beach, FL 32233","13642 Atlantic Boulevard, Jacksonville, FL 32225"
"763 Atlantic Boulevard, Atlantic Beach, FL 32233","102 N 6th Avenue, Jacksonville Beach, FL 32250"
"301 E Nine Road, Pensacola, FL 32514","2146 W 9 Mile Road, Pensacola, FL 32534"
"301 E Nine Road, Pensacola, FL 32514","7152 N Davis Highway, Pensacola, FL 32504"
"301 E Nine Road, Pensacola, FL 32514","701 E 9 Mile Road, Pensacola, FL 32514"
"301 E Nine Road, Pensacola, FL 32514","7817 N Davis Highway, Pensacola, FL 32514"
"301 E Nine Road, Pensacola, FL 32514","2122 W 9 Mile Road, Pensacola, FL 32534"
"301 E Nine Road, Pensacola, FL 32514","1901 E Nine Mile Road, Pensacola, FL 32514"
"301 E Nine Road, Pensacola, FL 32514","2401 Langley Avenue, Pensacola, FL 32504"
"3460 US Hwy 441, Fruitland Park, FL 34731","1403 Akron Drive, Leesburg, FL 34748"
"3460 US Hwy 441, Fruitland Park, FL 34731","3295 US Hwy 441, Fruitland Park, FL 34731"
"3460 US Hwy 441, Fruitland Park, FL 34731","106 W N Boulevard, Suite 105, Leesburg, FL 34748"
"622 S Federal Highway, Deerfield Beach, FL 33441","148 N Federal Highway, Deerfield Beach, FL 33441"
"622 S Federal Highway, Deerfield Beach, FL 33441","1444 S Federal Highway, Deerfield Beach, FL 33441"
"622 S Federal Highway, Deerfield Beach, FL 33441","2305 W Hillsboro Boulevard, Deerfield Beach, FL 33442"
