results_address,competitors
971 CASSAT AVENUE,8
2385 S FERDON BOULEVARD,1
500 E CHASE STREET,8
763 ATLANTIC BOULEVARD,6
301 E NINE ROAD,7
2090 U.S. 98,0
3460 US HWY 441,3
622 S FEDERAL HIGHWAY,9
9637 US HWY 98,1
2620 S US HWY 1,5
9611 N KENDALL DRIVE,16
5827 SW 40TH STREET,11
1406 N UNIVERSITY DRIVE,4
10607 E COLONIAL DRIVE,14
3611 US HWY 98,5
4825 US HWY 98 N,5
9510 ATLANTIC BOULEVARD,5
606 S DALE MABRY HIGHWAY,14
103 SW 3RD PLACE,5
5138 DEER PARK DRIVE,3
5611 SIX MILE COMMERCIAL COURT,6
11245 SW 211 STREET,2
6340 N WICKHAM ROAD,1
487 STATE ROAD 436,11
921 S MISSOURI AVENUE,16
175 NW 167TH STREET,11
601 34TH STREET N,13
1901 N ORANGE AVENUE,13
1 S DIXIE HIGHWAY,3
3400 SW 34TH STREET,12
109 RACETRACK ROAD NE,4
9901 SAN JOSE BOULEVARD,8
1902 THOMASVILLE ROAD,14
