Name,Phone,Email,Authorization Status,License Number
Ayr Cannabis Dispensary,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002
Cannabist,800-714-9215,info@col-carefl.com,Dispensing Authorization,MMTC-2017-0011
"Cookies Florida, Inc.",,,Dispensing Authorization,MMTC-2019-0018
Curaleaf,877-303-0741,info.fl@curaleaf.com,Dispensing Authorization,MMTC-2015-0001
FLUENT,833-735-8368,info@getfluent.com,Dispensing Authorization,MMTC-2015-0003
Gold Leaf,,,Dispensing Authorization,MMTC-2019-0019
Green Dragon,720-600-9555,support@greendragon.com,Dispensing Authorization,MMTC-2019-0021
GrowHealthy,863-223-8882,info@GrowHealthy.com,Dispensing Authorization,MMTC-2016-0007
GTI (Rise Dispensaries),305-306-8772,FLinfo@gtigrows.com,Dispensing Authorization,MMTC-2017-0013
House of Platinum Cannabis,,,Dispensing Authorization,MMTC-2018-0014
Insa - Cannabis for Real Life,413-200-5100,pat@myinsa.com,Dispensing Authorization,MMTC-2019-0016
Jungle Boys,,,Dispensing Authorization,MMTC-2019-0015
MuV,833-880-5420,support@muvbrand.com,Dispensing Authorization,MMTC-2017-0010
"Planet 13 Florida, Inc.",,,Dispensing Authorization,MMTC-2016-0006
Revolution Florida,,,Dispensing Authorization,MMTC-2019-0022
Sanctuary Cannabis,,,Dispensing Authorization,MMTC-2019-0017
Shedrick McGriff,,,Initial Licensure,MMTC-2023-0024
Sunburn,786-288-3145,info.fldelivery@medmen.com,Dispensing Authorization,MMTC-2017-0012
Sunnyside,877-395-1009,info@sunnyside.shop,Dispensing Authorization,MMTC-2017-0008
Surterra Wellness,850-391-5455,wellness@surterra.com,Dispensing Authorization,MMTC-2015-0004
Terry Donell Gwinn,,,Initial Licensure,MMTC-2023-0023
The Flowery,305-912-2929,Hello@theFlowery.co,Dispensing Authorization,MMTC-2019-0020
Trulieve,844-878-5438,info@trulieve.com,Dispensing Authorization,MMTC-2015-0005
VidaCann,800-977-1686,info@vidacann.com,Dispensing Authorization,MMTC-2017-0009
