COMPANY,ADDRESS,EMAIL ADDRESS,PHONE,CITY,ZIP CODE,COUNTY
Ayr Cannabis Dispensary,6325 N Orange Blossom Trail,-,-,Orlando,32810,Orange
Ayr Cannabis Dispensary,7390 Aloma Avenue,-,-,Winter Park,32792,Orange
Ayr Cannabis Dispensary,4650 N Alafaya Trail,-,-,Orlando,32826,Orange
Ayr Cannabis Dispensary,440 N State Road 19,-,-,Palatka,32177,Putnam
Ayr Cannabis Dispensary,6930 Cypress Gardens Boulevard,-,-,Winter Haven,33884,Polk
Ayr Cannabis Dispensary,13832 Landstar Boulevard,-,-,Orlando,32824,Orange
Ayr Cannabis Dispensary,3701 W Lake Mary Boulevard,-,-,Lake Mary,32746,Seminole
Ayr Cannabis Dispensary,8898 SW 144th Terrace,-,-,Palmetto Bay,33158,Miami-Dade
Ayr Cannabis Dispensary,21529 Village Lakes Shopping Center Drive,-,-,Land O’ Lakes,34639,Pasco
Ayr Cannabis Dispensary,7720 Turkey Lake Road,-,-,Orlando,32819,Orange
Ayr Cannabis Dispensary,41680 US Hwy 19 N,-,-,Tarpon Springs,34689,Pinellas
Ayr Cannabis Dispensary,7118 S Military Trail,-,-,Lake Worth,33463,Palm Beach
Ayr Cannabis Dispensary,2290 W International Speedway Boulevard,-,-,Daytona Beach,32114,Volusia
Ayr Cannabis Dispensary,"222 N Federal Highway, Suite 103",-,-,Dania Beach,33004,Broward
Ayr Cannabis Dispensary,8050 Philips Highway,-,-,Jacksonville,32217,Duval
Ayr Cannabis Dispensary,314 S Belcher Road,-,-,Clearwater,33765,Pinellas
Ayr Cannabis Dispensary,750 S US Hwy 17-92,-,-,Longwood,32750,Seminole
Ayr Cannabis Dispensary,900 Hooks Street,-,-,Clermont,34714,Lake
Ayr Cannabis Dispensary,5502 S Dale Mabry Highway,-,-,Tampa,33611,Hillsborough
Ayr Cannabis Dispensary,3642 W Kennedy Boulevard,-,-,Tampa,33609,Hillsborough
Ayr Cannabis Dispensary,6769 US Hwy 19 N,-,-,Pinellas Park,33781,Pinellas
Ayr Cannabis Dispensary,15443 US Hwy 441,-,-,Eustis,32726,Lake
Ayr Cannabis Dispensary,9304 US Hwy 19 N,-,-,Port Richey,34668,Pasco
Ayr Cannabis Dispensary,2146 W 9 Mile Road,-,-,Pensacola,32534,Escambia
Ayr Cannabis Dispensary,1865 Woolbright Road,-,-,Boynton Beach,33426,Palm Beach
Ayr Cannabis Dispensary,4920 E Silver Springs Boulevard,-,-,Ocala,34470,Marion
Ayr Cannabis Dispensary,2119-A Hollywood Boulevard,-,-,Hollywood,33020,Broward
Ayr Cannabis Dispensary,2356 Commercial Way Service Road,-,-,Spring Hill,34606,Hernando
Ayr Cannabis Dispensary,826 Duval Street,-,-,Key West,33040,Monroe
Ayr Cannabis Dispensary,33497 S Dixie Highway,-,-,Florida City,33034,Miami-Dade
Ayr Cannabis Dispensary,421 Mary Esther Boulevard,-,-,Mary Esther,32569,Okaloosa
Ayr Cannabis Dispensary,135 US Hwy 27 N,-,-,Sebring,33870,Highlands
Ayr Cannabis Dispensary,4805 Babcock Street NE,-,-,Palm Bay,32905,Brevard
Ayr Cannabis Dispensary,5053 Turnpike Feeder Road,-,-,Fort Pierce,34951,St. Lucie
