,COMPANY,ADDRESS,CITY,ZIP CODE,COUNTY,Phone,Email,Authorization Status,License Number,Full Address,Latitude,Longitude
0,Ayr Cannabis Dispensary,6325 N Orange Blossom Trail,Orlando,32810,Orange,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"6325 N Orange Blossom Trail, Orlando, FL 32810",28.613140672712017,-81.43263221505724
1,Ayr Cannabis Dispensary,7390 Aloma Avenue,Winter Park,32792,Orange,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"7390 Aloma Avenue, Winter Park, FL 32792",28.60856,-81.28971
2,Ayr Cannabis Dispensary,4650 N Alafaya Trail,Orlando,32826,Orange,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"4650 N Alafaya Trail, Orlando, FL 32826",28.607891,-81.208217
3,Ayr Cannabis Dispensary,440 N State Road 19,Palatka,32177,Putnam,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"440 N State Road 19, Palatka, FL 32177",29.654598,-81.670715
4,Ayr Cannabis Dispensary,6930 Cypress Gardens Boulevard,Winter Haven,33884,Polk,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"6930 Cypress Gardens Boulevard, Winter Haven, FL 33884",27.978251,-81.659211
5,Ayr Cannabis Dispensary,13832 Landstar Boulevard,Orlando,32824,Orange,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"13832 Landstar Boulevard, Orlando, FL 32824",28.369848181500924,-81.36708185735701
6,Ayr Cannabis Dispensary,3701 W Lake Mary Boulevard,Lake Mary,32746,Seminole,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"3701 W Lake Mary Boulevard, Lake Mary, FL 32746",28.75601,-81.342867
7,Ayr Cannabis Dispensary,8898 SW 144th Terrace,Palmetto Bay,33158,Miami-Dade,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"8898 SW 144th Terrace, Palmetto Bay, FL 33158",25.6361886,-80.3165738
8,Ayr Cannabis Dispensary,21529 Village Lakes Shopping Center Drive,Land O’ Lakes,34639,Pasco,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"21529 Village Lakes Shopping Center Drive, Land O’ Lakes, FL 34639",28.190439,-82.459825
9,Ayr Cannabis Dispensary,7720 Turkey Lake Road,Orlando,32819,Orange,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"7720 Turkey Lake Road, Orlando, FL 32819",28.455910643040767,-81.47740788556739
10,Ayr Cannabis Dispensary,41680 US Hwy 19 N,Tarpon Springs,34689,Pinellas,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"41680 US Hwy 19 N, Tarpon Springs, FL 34689",28.150635,-82.741321
11,Ayr Cannabis Dispensary,7118 S Military Trail,Lake Worth,33463,Palm Beach,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"7118 S Military Trail, Lake Worth, FL 33463",26.57058,-80.11333
12,Ayr Cannabis Dispensary,2290 W International Speedway Boulevard,Daytona Beach,32114,Volusia,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"2290 W International Speedway Boulevard, Daytona Beach, FL 32114",29.184785,-81.078341
13,Ayr Cannabis Dispensary,"222 N Federal Highway, Suite 103",Dania Beach,33004,Broward,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"222 N Federal Highway, Suite 103, Dania Beach, FL 33004",26.056642,-80.143812
14,Ayr Cannabis Dispensary,8050 Philips Highway,Jacksonville,32217,Duval,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"8050 Philips Highway, Jacksonville, FL 32217",30.2237623,-81.5881151
15,Ayr Cannabis Dispensary,314 S Belcher Road,Clearwater,33765,Pinellas,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"314 S Belcher Road, Clearwater, FL 33765",27.962066,-82.746139
16,Ayr Cannabis Dispensary,750 S US Hwy 17-92,Longwood,32750,Seminole,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"750 S US Hwy 17-92, Longwood, FL 32750",28.693249,-81.328099
17,Ayr Cannabis Dispensary,900 Hooks Street,Clermont,34714,Lake,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"900 Hooks Street, Clermont, FL 34714",28.543112315436243,-81.74204432214765
18,Ayr Cannabis Dispensary,5502 S Dale Mabry Highway,Tampa,33611,Hillsborough,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"5502 S Dale Mabry Highway, Tampa, FL 33611",27.88519,-82.50635514285715
19,Ayr Cannabis Dispensary,3642 W Kennedy Boulevard,Tampa,33609,Hillsborough,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"3642 W Kennedy Boulevard, Tampa, FL 33609",27.94473214285714,-82.50246942857143
20,Ayr Cannabis Dispensary,6769 US Hwy 19 N,Pinellas Park,33781,Pinellas,833-254-4877,Info@libertyhealthsciences.com,Dispensing Authorization,MMTC-2015-0002,"6769 US Hwy 19 N, Pinellas Park, FL 33781",27.833503,-82.680052
