,ADDRESS,competitors,Latitude,Longitude
0,971 CASSAT AVENUE,8,30.31,-81.73
1,2385 S FERDON BOULEVARD,1,30.734,-86.566
2,500 E CHASE STREET,8,30.416,-87.204
3,763 ATLANTIC BOULEVARD,6,30.325,-81.409
4,301 E NINE ROAD,7,30.532,-87.262
5,2090 U.S. 98,0,30.412,-86.745
6,3460 US HWY 441,3,28.845,-81.899
7,622 S FEDERAL HIGHWAY,9,26.309,-80.092
8,9637 US HWY 98,1,30.378,-86.336
9,2620 S US HWY 1,5,27.421,-80.326
10,9611 N KENDALL DRIVE,16,25.688,-80.349
11,5827 SW 40TH STREET,11,25.734,-80.289
12,1406 N UNIVERSITY DRIVE,4,26.248,-80.253
13,10607 E COLONIAL DRIVE,14,28.57,-81.232
14,3611 US HWY 98,5,30.18,-85.708
15,4825 US HWY 98 N,5,28.104,-81.974
16,9510 ATLANTIC BOULEVARD,5,30.32,-81.552
17,606 S DALE MABRY HIGHWAY,14,27.939,-82.506
18,103 SW 3RD PLACE,5,26.648,-81.981
19,5138 DEER PARK DRIVE,3,28.234,-82.668
20,5611 SIX MILE COMMERCIAL COURT,6,26.529,-81.863
21,11245 SW 211 STREET,2,25.571,-80.369
22,6340 N WICKHAM ROAD,1,28.215,-80.673
23,487 STATE ROAD 436,11,28.656,-81.334
24,921 S MISSOURI AVENUE,16,27.956,-82.787
25,175 NW 167TH STREET,11,25.928,-80.204
26,601 34TH STREET N,13,27.778,-82.679
27,1901 N ORANGE AVENUE,13,28.569,-81.373
28,1 S DIXIE HIGHWAY,3,26.616,-80.058
29,3400 SW 34TH STREET,12,29.623,-82.373
30,109 RACETRACK ROAD NE,4,30.447,-86.61
31,9901 SAN JOSE BOULEVARD,8,30.198,-81.621
32,1902 THOMASVILLE ROAD,14,30.465,-84.27
